fontname,width,height
텐바이텐 폰트,23.5,17
텐바이텐 폰트 Bold,30.0,24
116앵무부리,6.5,6
116수박화체,31.5,8
12롯데마트드림Bold,26.0,21
12롯데마트드림Light,14.5,12
12롯데마트드림Medium,21.0,17
12롯데마트행복Bold,31.5,25
12롯데마트행복Light,26.5,21
12롯데마트행복Medium,29.5,23
도서관체,27.5,20
성동고딕,30.5,22
성동고딕B,25.0,18
경기천년제목 Bold,35.0,26
경기천년제목 Medium,28.0,21
경기천년제목V Bold,35.0,26
경기천년바탕 Bold,21.0,16
경기천년바탕 Regular,14.0,12
빛고을광주체 Light,25.0,9
빛고을광주체 Medium,29.5,14
빛고을광주체 Bold,32.5,18
김포평화바탕,17.5,12
순천체R,18.0,16
순천체B,26.0,23
전주완판본 순체 B,27.5,15
전주완판본 순체 L,18.5,11
전주완판본 순체 R,23.5,13
전주완판본 각체 B,27.5,15
전주완판본 각체 L,18.5,11
전주완판본 각체 R,23.5,13
유토이미지 고딕 R,18.5,16
유토이미지 별나라달님체,27.0,16
유토이미지 빨간우체통체,19.0,18
유토이미지 플라워체,19.5,10
유토이미지체,27.0,25
유토이미지 고딕 B,24.0,19
유토이미지 고딕 L,13.5,13
아리따 부리 B,28.0,15
아리따 부리 L,12.0,7
아리따 부리 M,17.0,8
아리따 부리 SB,23.0,11
애터미체 Bold,30.5,26
애터미체 Light,14.0,12
애터미체 Medium,22.0,19
a타이틀고딕2,23.0,19
a타이틀고딕3,29.5,25
a타이틀고딕4,36.0,30
바른바탕체 B,24.5,12
바른바탕체 L,16.5,9
바른바탕체 M,21.0,11
바탕체,14.0,9
넥슨 배찌체,22.5,21
빙그레체,21.0,17
빙그레 메로나체 Bold,31.0,26
빙그레 메로나,19.5,16
빙그레 싸만코체 Bold,26.5,18
빙그레 싸만코체,16.0,14
빙그레체Ⅱ,20.0,14
도현체,35.0,31
을지로10년후체,36.0,28
을지로체,36.5,28
한나체 Air,18.0,15
한나체 Pro,32.5,28
한나는11살체,32.5,29
주아체,30.5,32
기랑해랑체,27.5,17
연성체,25.0,19
부산체,29.5,25
카페24 당당해체,35.5,13
카페24 단정해체,34.5,13
카페24 동동체,20.0,19
카페24 아네모네 에어체,16.5,15
카페24 빛나는별체,13.0,12
카페24 쑥쑥체,20.0,17
카페24 숑숑체,21.0,19
창원단감아삭체 Bold,62.5,59
쿠키런체 Black,50.0,49
쿠키런체 Bold,39.0,35
디자인하우스체,28.0,20
디자인하우스체 Light,9.0,9
영양군 음식디미방체,23.0,17
동글 Bold,19.5,19
동글 Light,10.0,9
동글 Regular,15.5,14
도스고딕,14.5,14
도스이야기 굵은체,29.0,14
도스명조,26.0,53
도스필기,28.5,14
도스샘물,14.0,15
돋움체,13.5,10
둥근모꼴,29.0,15
DX아리랑 B,34.0,25
DX아우라,26.0,14
DX작가세상 M,24.0,18
DX방탄고딕,48.0,39
DX봄결 ExBold,37.0,30
DX블루마린라운드 ExBold,41.5,32
DX어린이그림,36.0,35
DX동화나라 Bold,40.5,39
DX퓨리티 Bold,34.5,24
DX헤드02 Bold,41.0,26
DX설레임2 Medium,16.0,15
DX설레임 Medium,16.0,15
DX우등생 Bold,25.5,23
DX한울 Bold,19.0,17
DX경필명조 Bold,16.5,12
DX모던고딕 Bold,25.0,21
DX모던고딕 RoundBold,25.5,21
DX국민시대 Regular,42.0,37
DX새신문명조 Bold,17.0,12
DX프로방스 Bold,35.0,23
DX르네상스 Bold,26.5,23
DX단선고딕 Thin,8.5,8
DX신문명조,12.0,6
DX스피드 Medium,39.0,21
DX우리강산 Bold,36.5,30
EBS주시경B,28.5,31
EBS주시경L,19.0,22
EBS주시경M,24.5,27
마초체,33.0,23
엘리스디지털배움체 Regular,19.0,16
설립체,43.0,16
가비아 청연체,14.5,9
가비아 마음결체,15.5,10
가비아 봄바람체,21.5,20
가비아 납작블럭체,26.0,20
가비아 솔미체,21.5,20
가나초콜릿체,49.5,10
고도체 B,34.5,28
고도체 M,26.0,23
고양덕양체 B,29.0,24
고양덕양체 EB,34.5,28
굴림체,14.0,13
HY그래픽M,15.5,7
HY견고딕,34.0,29
HY중고딕,15.5,13
HY헤드라인M,33.0,24
HY견명조,26.5,17
HY신명조,15.0,7
HY얕은샘물M,19.0,18
함렡체 Black,47.0,32
함렡체 Bold,36.5,26
함렡체 Light,16.5,13
함렡체 Regular,20.0,16
한컴 백제 B,29.5,27
함초롬바탕체,15.5,9
함초롬바탕체 B,24.5,13
한글누리체,27.0,22
한글누리체 R,17.0,14
한겨레결체,16.5,12
한컴 바겐세일 B,31.0,26
한컴 바겐세일 M,23.0,22
